display,output,builder,locked_inputs,upstream_analysis,compute_provenance,access
Main Figure 1,paper/main/figures/figure_ld_example_chr17.pdf,paper/figdata/make_ld_example_chr17.py,ld_example_chr17_source.tsv; partners_by_threshold_v36.json,partner selection and signed phased LD,deterministic login-node summary,public
Main Figure 2,paper/main/figures/figure_ranking_simulation_results_v77.pdf,paper/figdata/make_ranking_simulation_figures_v77.py,ranking_simulation_alt_summary_v77.csv; ranking_simulation_strategy_rows_v77.csv,run_ranking_simulation_cell_v77.py; aggregate_ranking_simulation_v77.py,DCC 51329059 and audit 51329531,synthetic public
Main Figure 3,paper/main/figures/figure_microglia_strategy_enrichment_total_top10_v66.pdf,paper/figdata/make_enrichment_figures_from_summary.py,strategy_enrichment_total_top10_v66.json,build_total_transcript_alphagenome_v65.py; compare_single_lead_enrichment_v64.py,DCC 51102335 51102502-51102504 51105106 51105715 51108811,disclosure-safe aggregate
Main Figure 4,paper/main/figures/figure_microglia_reference_panel_comparison_v78.pdf,paper/figdata/make_figure7_reference_panel_enrichment_v78.py,reference_panel_enrichment_v68.json; public_baseline_enrichment_v75.json,compare_reference_panel_enrichment_v68.py; compare_public_baseline_enrichment_v75.py,DCC 51137385 51137386 51320045,disclosure-safe aggregate
Supplementary Figure 1,paper/supp/supp-figures/S2_q1_residual_heatmap.pdf,paper/figdata/make_suppfig_S2_q1_residual_heatmap.py,q1_residual_heatmap_1kg_v54.npz,public-panel binary-correlation residual summary,DCC 51056986,public
Supplementary Figure 2,paper/supp/supp-figures/S3_q1_loading_density.pdf,paper/figdata/make_suppfig_S3_q1_loading_density.py,q1_loading_density_v55.json,public-panel loading-density summary,deterministic DCC login-node summary,public
Supplementary Figure 3,paper/supp/supp-figures/supp_ranking_simulation_availability_v77.pdf,paper/figdata/make_ranking_simulation_figures_v77.py,ranking_simulation_lead_availability_v77.csv,run_ranking_simulation_cell_v77.py,DCC 51329059 and audit 51329531,synthetic public
Supplementary Figure 4,paper/supp/supp-figures/supp_ranking_simulation_hamming_v77.pdf,paper/figdata/make_ranking_simulation_figures_v77.py,ranking_simulation_strategy_rows_v77.csv,run_ranking_simulation_cell_v77.py,DCC 51329059 and audit 51329531,synthetic public
Supplementary Figure 5,paper/supp/supp-figures/supp_ranking_simulation_diagnostics_v77.pdf,paper/figdata/make_ranking_simulation_figures_v77.py,ranking_simulation_panel_rows_v77.csv,run_ranking_simulation_cell_v77.py,DCC 51329059 and audit 51329531,synthetic public
Supplementary Figure 6,paper/supp/supp-figures/supp_strategy_enrichment_full_and_terminal_top10_all_cells_v69.pdf,paper/figdata/make_suppfig_enrichment_regions_v69.py,strategy_enrichment_total_top10_v66.json; strategy_enrichment_terminal_top10_v66.json,compare_single_lead_enrichment_v64.py,DCC 51105106 51105715 51108811,disclosure-safe aggregate
Supplementary Figure 7,paper/supp/supp-figures/supp_microglia_reference_panel_enrichment_v78.pdf,paper/figdata/make_figure7_reference_panel_enrichment_v78.py,reference_panel_enrichment_v68.json,compare_reference_panel_enrichment_v68.py,DCC 51137385 51137386,disclosure-safe aggregate
Supplementary Figure 8,paper/supp/supp-figures/supp_public_baselines_all_cells_v75.pdf,paper/figdata/make_enrichment_figures_from_summary.py,public_baseline_enrichment_v75.json,compare_public_baseline_enrichment_v75.py,DCC 51320045,disclosure-safe aggregate
Supplementary Figure 9,paper/supp/supp-figures/figure_pva_q1.pdf,paper/figdata/make_figure_pva_q1.py,q1_pva_comparison_v53.json; q1_pairwise_residuals_1kg_v54.json; q1_pairwise_residuals_rosmap_v54.json; partners_by_threshold_v36.json,fit_1kg_locus_v52.py; fit_rosmap_locus_v51.py,DCC 50993052 50993325 50993326 50993795 50993796 51056986; RCC 1796166,mixed public and disclosure-safe protected aggregate
Supplementary Figure 10,paper/supp/supp-figures/figure_top10_rank_validation.pdf,paper/figdata/make_figure_top10_rank_validation.py,top10_contrast_1kg_armA_lead0_v60.json; top10_contrast_1kg_armA_lead1_v60.json; top10_contrast_1kg_armB_lead0_v60.json; top10_contrast_1kg_armB_lead1_v60.json; top10_contrast_summary_rosmap_v60.json,build_top10_empirical_v59.py,DCC 51083460-51083463 51083900; RCC 1796313-1796317,mixed public and disclosure-safe protected aggregate
Supplementary Figure 11,paper/supp/supp-figures/figure_ranking_simulation_design_v77.pdf,paper/figdata/make_ranking_simulation_figures_v77.py,ranking_simulation_v77.json,run_ranking_simulation_cell_v77.py,DCC 51329059 and audit 51329531,synthetic public
Supplementary Table 1,paper/supp/supp-tables/ST1_verify_mode.tex,paper/figdata/make_supptable_ST1.py,verify_sparse_v33.json; cond_probs_v40.json,unfactored-correlation mode verification,DCC 50782371,public-panel aggregate
Supplementary Table 2,paper/supp/supp-tables/ST2_public_baseline_genes_v75.tex,paper/figdata/make_public_baseline_table_v75.py,public_baseline_locus_gene_audit_v75.csv,compare_public_baseline_enrichment_v75.py,DCC 51320045,disclosure-safe aggregate
Supplementary Table 3,paper/supp/supp-tables/ST3_cohort_haplotype_agreement.tex,paper/figdata/make_supptable_ST3.py,cohort_top_haplotype_comparison_v72.json,compare_cohort_top_haplotypes_v72.py,deterministic DCC login-node audit,disclosure-safe aggregate
