stage,order,path,status,environment,primary_inputs,primary_outputs,role
estimation,1,analysis/estimation/probit_fixed_adaptive_v51.py,current dependency,DCC and RCC,binary phased haplotype matrix,fit dictionary,fixed-margin q1 likelihood adaptive quadrature optimization and reportability gates
estimation,2,analysis/estimation/fit_1kg_locus_v52.py,current entry point,DCC,public phased matrices and arm manifest,per-locus NPZ and JSON,fit one 1000 Genomes locus using deterministic spectral warm starts
estimation,3,analysis/estimation/fit_rosmap_locus_v51.py,protected entry point,RCC,approved ROSMAP pfiles and public manifest,protected per-locus NPZ and JSON,extract harmonize and fit one protected donor-panel locus
estimation,4,analysis/estimation/build_q1_pva_comparison_v53.py,provenance utility,DCC,completed cohort fit summaries,q1_pva_comparison_v53.json,build disclosure-safe PVA comparison
estimation,5,analysis/estimation/build_q1_pairwise_residuals_v54.py,current diagnostic,DCC and RCC,fits and phased matrices,q1 residual JSON and public heatmap NPZ,compare empirical and fitted binary correlations
estimation,6,analysis/estimation/build_q1_loading_density_v55.py,current diagnostic,DCC,public q1 coefficient NPZ files,q1_loading_density_v55.json,summarize loading magnitude and energy density
haplotype construction,1,analysis/haplotype_construction/count_partners_v36.py,provenance utility,DCC,stored lead-partner LD tables,partners_by_threshold_v36.json,reproduce Arm A and Arm B partner counts
haplotype construction,2,analysis/haplotype_construction/build_top10_empirical_v59.py,current entry point,DCC and RCC,phased matrix and fitted coefficients,lead-state top-ten JSON,discover score certify and count fitted conditional haplotypes
haplotype construction,3,analysis/haplotype_construction/build_public_baseline_haplotypes_v73.py,current entry point,DCC,public phased matrices fits and top-ten lists,public_haplotype_baselines_v73 JSON and CSV,construct empirical-mode and LD-sign backgrounds and map fitted ranks
haplotype construction,4,analysis/haplotype_construction/test_public_baseline_haplotypes_v73.py,current dependency,public,none,test assertions,test baseline tie sign and packing rules
haplotype construction,5,analysis/haplotype_construction/compare_cohort_top_haplotypes_v72.py,current entry point,DCC,public top lists and approved donor summaries,cohort_top_haplotype_comparison_v72.json,compare panels on identical or shared partner coordinates
haplotype construction,6,analysis/haplotype_construction/cond_probs_v40.py,provenance utility,DCC,stored probability audits and lead frequencies,cond_probs_v40.json,convert joint haplotype probabilities to lead-state conditional probabilities
haplotype construction,7,analysis/haplotype_construction/verify_sparse_v33.py,provenance utility,DCC,working correlations and legacy candidate fits,verify_sparse_v33.json,evaluate candidates under the unfactored working correlation
simulation,1,analysis/simulation/run_ranking_simulation_cell_v74.py,current dependency,DCC synthetic,generated truth and panel,small-k replicate JSON,supply shared truth panel estimator and exhaustive enumeration functions
simulation,2,analysis/simulation/run_ranking_simulation_cell_v76.py,current dependency,DCC synthetic,v74 simulation objects,scalable replicate JSON,supply certified branch-and-bound top-L search imported by v77
simulation,3,analysis/simulation/run_ranking_simulation_cell_v77.py,current entry point,DCC synthetic,seeded population truth and nested panels,one strict replicate JSON,run the final frequency-stratified ranking simulation cell
simulation,4,analysis/simulation/run_ranking_simulation_slurm_portable.sh,current entry point,Slurm,repository and production Python path,1620 v77 replicate JSON files,portable final-grid launcher
simulation,5,analysis/simulation/run_ranking_simulation_replicate_array_v77.sh,production provenance,DCC Slurm,original DCC work root,1620 v77 replicate JSON files,recorded original absolute-path launcher
simulation,6,analysis/simulation/aggregate_ranking_simulation_v77.py,current entry point,DCC or public,complete v77 replicate tree,aggregate JSON and CSV summaries,validate completeness and aggregate strategies diagnostics and availability
simulation,7,analysis/simulation/audit_ranking_simulation_v77.py,current entry point,DCC or public,complete v77 replicate tree,ranking_simulation_audit_v77.json,independently audit cells searches frequency design and exhaustive checks
simulation,8,analysis/simulation/test_ranking_frequency_design_v77.py,current dependency,public,deterministic generated cases,test assertions,test frequency bounds availability quadrature and tied cutoffs
simulation,9,analysis/simulation/test_ranking_oracle_v76.py,current dependency,public,deterministic generated mixtures,test assertions,compare branch-and-bound with exact enumeration and certify large-k cases
AlphaGenome,1,analysis/alphagenome/build_rosmap_top5_alphagenome_v61.py,protected entry point,RCC,protected top-five haplotypes reference cache GTF and API,protected paired predictions and checkpoints,write sequences query RNA tracks and summarize terminal windows
AlphaGenome,2,analysis/alphagenome/build_single_lead_alphagenome_v63.py,current entry point,DCC,lead manifest reference cache GTF and API,single-lead prediction parquet,query GRCh38 lead-only reference and alternate sequences
AlphaGenome,3,analysis/alphagenome/build_total_transcript_alphagenome_v65.py,current entry point,DCC and RCC,paired fitted or single sequences GTF and API,complete-exon-union prediction parquet,summarize paired RNA predictions over complete gene exon unions
AlphaGenome,4,analysis/alphagenome/combine_top10_predictions_v66.py,current dependency,protected environment,rank 1-5 and rank 6-10 parquets,validated rank 1-10 parquet,merge prediction batches with strict rank and duplicate checks
AlphaGenome,5,analysis/alphagenome/build_onekg_total_transcript_alphagenome_v68.py,current entry point,DCC,public top-ten haplotypes reference cache GTF and API,public complete-exon-union prediction parquet,query and summarize public fitted ranks 1-10
benchmark,1,analysis/benchmark/compare_single_lead_enrichment_v64.py,current entry point,DCC with approved inputs,fitted and single prediction summaries plus Fujita files,strategy enrichment JSON and figures,define common universe matched-count enrichment and paired whole-locus bootstrap
benchmark,2,analysis/benchmark/compare_reference_panel_enrichment_v68.py,current entry point,DCC with approved aggregates,public and donor prediction summaries plus Fujita files,reference-panel enrichment JSON and figures,compare public and donor rankings on one common universe
benchmark,3,analysis/benchmark/compare_public_baseline_enrichment_v75.py,current entry point,DCC with approved inputs,public predictions baseline manifest and Fujita files,baseline enrichment JSON audits and figures,compare fitted empirical-mode LD-sign and single-lead strategies
benchmark,4,analysis/benchmark/test_rosmap_top5_eqtl_v62.py,protected provenance utility,RCC,protected top-five predictions and Fujita files,protected scored rows and approved aggregate metrics,audit internal-null and matched-count protected benchmark results
